objid,ra,dec
587732583125286929,150.21696087,55.61882735
587732583125287062,150.3096725,55.7182799
587734862144143405,148.85733643,7.66044512
587734863217950841,148.87373745,8.39062818
587735347486457926,149.93121126,11.66073925
587735349633941553,149.650967,13.25525907
587735662622867496,149.52435467,37.28861629
587736541476421783,203.6574352,8.7935996
587738067276988628,149.79430073,69.2578584
587738067813924971,149.08499674,69.70010276
587738409251373097,149.6963915,11.38869916
587738573535117327,204.0693598,38.33991948
587738574072053771,204.36258749,38.61568009
587738951494074510,203.97998308,35.58824869
587739158191144966,149.49864808,32.23965388
587739158191145031,149.58782246,32.36989285
587739158728474710,150.42523817,33.13640943
587739406231797839,149.19186257,28.82882403
587739506624561273,204.2544637,31.76650129
587739647274778738,149.08381399,27.22756773
587742566782402690,149.26352104,15.57825904
587742568393015393,149.07478873,16.83036679
587742568393080838,149.0852748,16.8325311
587742568393081021,149.19004114,16.80949284
587742578060296259,202.96897508,20.00105751
587745244164456537,148.8900439,16.43285615
587745244164653099,149.38020032,16.49065878
587745541054595115,149.44903755,15.12559678
588010357999403156,150.13151934,3.20529663
588010359609491545,148.82525722,4.27001612
588010359610081334,150.13327518,4.40706798
588011124654276687,203.67325448,61.99335803
588013383807729799,149.50395612,47.32447393
588013384344731721,149.72246102,47.73685254
588016891173601416,150.44952557,36.49870626
588017115586887687,202.90708615,46.15085005
588017115587149982,203.92799597,45.92961839
588017571390619701,203.75768037,12.47473193
588017606300860470,204.14032514,44.59914824
588017606300926026,204.18772512,44.59812823
588017713120739427,203.67712394,51.61367546
588017977806356631,148.85199238,33.26277621
588017977806618676,149.38690199,33.61973035
588017978899300553,203.38249926,38.60542976
588017990689554532,203.93969213,8.96905478
588017990689751091,204.40265312,8.85226131
588018054572998665,204.00504668,49.96083491
588298661969068037,204.2054964,44.88147049
588298663042547873,203.7425493,45.78005673
588848898849112176,203.27224997,-1.03580366
587722981744771128,190.73857899,-1.22942345
587724648724693124,190.34536753,-3.05782539
587724650872307861,190.63614077,-1.35065981
587725039022571672,190.00772778,-3.60680485
587725041707253859,190.82685977,-1.46739697
587726013999349804,189.52154894,1.47775291
587726014536679499,190.58857669,2.06663681
587726016684228765,190.73473198,3.67660509
587726031179284560,190.298334,1.41027663
587726031179481184,190.65236818,1.38960508
587726031716024381,189.95960422,1.67263972
587726877266542759,321.2539858,-8.19558617
587726878877417637,321.97303368,-7.02052897
587727223561388187,0.81267058,16.14577259
587728879797338373,140.31435955,3.15112226
587728930271461418,141.52113848,50.43834134
587729158427574333,190.20970158,4.52582657
587729159500988440,189.45161539,5.36852399
587731521208909929,141.37912385,45.53274503
587731679047516203,140.76287219,44.55494426
587732152030134388,140.43984333,39.52479613
587732152567267353,140.8222448,40.20008371
587732483809738762,141.22170651,41.06018419
587732771058942147,190.47749884,9.58460888
587732771595616283,189.99064772,10.17246773
587733081887997956,189.65523155,55.92570446
587734622172610762,139.99177089,37.19126111
587734894368129065,190.24399815,11.1844891
587734948586520607,140.11510204,8.54178336
587735042543583390,140.81325123,34.73430762
587735239568130254,141.14162643,34.65946042
587735346966888483,190.47618235,13.7728827
587735348040302682,189.76959575,14.73112662
587735348040564879,190.33597788,14.70054832
587735348556398694,141.06069477,11.11059249
587735349093400778,141.23919126,11.54152476
587735349651046433,190.08198108,15.93527978
587735663156658380,141.50621379,34.65344614
587737810650923058,140.08105974,64.08061617
587737810650923091,140.0849352,64.10297765
587737810651054109,140.37532412,64.23870044
587737825146044552,141.02625864,62.03002474
587738410321510658,141.31426769,10.88672136
587738411126423573,140.24834986,11.05919384
587738568705900621,190.65571283,14.35720618
587738568705900649,190.66534696,14.30664415
587738569779380246,189.95845469,15.30230911
587738948833050710,190.3869798,41.12416617
587739098601750600,189.7371832,38.09028706
587739376701210655,141.22962648,26.77467389
587739406227996760,140.10211634,25.68025211
587739407302197420,140.7969386,26.81739573
587739608629182522,189.70011871,32.09148816
587739609166315552,190.44069843,32.53349819
587739609166315561,190.417687,32.53188416
587739609166381079,190.4821007,32.53565019
587739609166381142,190.4997835,32.5735412
587741490897813705,141.16439448,23.20389915
587741815704780862,141.06977231,17.80712079
587742061054525454,140.61485126,16.21152456
587742062128595074,141.21545714,17.26155957
587742062665531495,141.30861203,17.59905154
587742576981508255,190.66348914,19.94530192
587742774563111034,190.58569477,17.50975293
588007003630207079,141.23184951,55.89670217
588009365862744066,140.23299484,52.56866207
588009367473684586,140.05204337,54.10790272
588009370692354052,190.02544578,61.60265671
588009372839772207,190.14808615,63.34986696
588009372839837844,190.53383087,63.39031312
588010358532145253,140.64226858,3.08370283
588010358532210742,140.72919931,3.15693428
588010358532538674,141.57192751,3.13487007
588010359069081695,140.73429071,3.3761081
588010878226399343,189.61835727,4.31910193
588010880373948468,189.80180485,6.01229238
588011125188395136,190.23869818,63.51960151
588013382193709226,140.94894968,42.18345698
588015508197212201,3.6327609,-0.73755717
588017569237368916,190.3155507,11.38723884
588017569773912076,189.43933318,11.8167492
588017569774370837,190.53609869,11.75428185
588017570311307321,190.78193177,12.05118445
588017571384721452,189.9500573,12.97396545
588017571384918116,190.49728743,12.94284852
588017571921526868,189.76760192,13.3629632
588017677694009484,140.1371329,10.60031139
588017702398066752,190.44192726,11.48865569
588017702398263355,190.90634259,11.55096055
588017702934872264,190.30088142,11.88664301
588017703471808670,190.4142174,12.247396
588017703471939787,190.74070774,12.28695178
588017704545222673,189.57446875,13.10990242
588017704545681427,190.66976944,13.26688166
588017704545681493,190.7136406,13.26261963
588017719573086223,190.38706917,41.15103985
588017719573086236,190.40589927,41.14177633
588017719573086260,190.46966187,41.27397157
588017719573086265,190.46532696,41.27717644
588017721183698964,190.57161577,42.52112889
588017726550179866,190.04971378,8.38373268
588017729764130911,189.58673684,7.89129625
588017990683721859,190.46653253,9.40294466
588017992294465679,190.74180902,10.68192553
588023238598459458,141.16390739,17.66326168
588848899380084803,189.82807196,-0.53194432
588848899916824629,189.52225452,-0.02702831
588848901527699543,190.11288208,1.19692004
587724231569637480,23.32379048,13.33202707
587725039025193064,196.13354066,-3.58838609
587725039025193073,196.12997552,-3.57241088
587727180070584453,24.37840901,-8.88549445
587727213341638918,309.45820313,-6.09077389
587731522284290090,145.11255681,48.33763905
587732153642582066,144.51615488,42.71358126
587732484348051467,144.65068871,43.17680378
587732701784965345,143.78114544,5.12006787
587732703395578028,143.68631729,6.42549002
587733080279351303,197.15647932,54.07437219
587733195697553469,197.28639646,53.94357366
587734948051615753,144.64357734,8.88792194
587734949124898843,143.51132088,9.47920243
587734949661769909,143.5005495,10.02953207
587734949661835315,143.6110244,9.91643062
587735044155834480,144.21863017,37.69489117
587735044155834487,144.22667096,37.69186369
587735343726067735,144.53287891,9.52391117
587735344799350940,143.51158082,10.10871074
587735695372779676,196.35361425,56.32276351
587738947743055899,144.37919658,32.84140892
587739096456691800,196.32835071,36.102885
587739114172317761,145.05350402,29.59175581
587739156578107405,144.03131342,29.11193168
587739303684735052,197.52433143,34.18110713
587739610242220131,196.35261882,32.90008702
587739647809486954,143.74613954,25.82567659
587741391035760741,144.49165266,25.4947873
587741709407158353,143.74000197,21.70526217
587741722824343608,196.44817935,27.73413793
587741726046159019,195.90315814,24.52569501
587741815705960478,143.7643474,18.49312812
587741816780095493,144.37924646,19.58936747
587741821063004175,143.66982813,19.5502746
587742012752068617,197.1428564,21.04995565
587742576984326215,197.50126706,19.71834577
587742902866542670,197.55149444,16.93567355
587745243089010760,145.10036683,14.9226171
588013381658148897,144.59734831,43.50917332
588016890634436689,144.78316658,34.00632322
588017605761761416,196.86394474,45.15387107
588017978897137784,197.0898975,39.46117174
588848899360096462,144.10961758,-0.5713543
587728676860919918,202.38397278,62.82418328
587729777975754861,202.19545449,-2.04113933
587729778512756836,202.52561183,-1.72060084
